version,host,test,outcome,seconds
0.7.5-rc5,jetson arm64,1,Ok,4
0.7.5-rc5,jetson arm64,2,Ok,5
0.7.5-rc5,jetson arm64,3,Ok,126
0.7.5-rc5,jetson arm64,4,Ok,33
0.7.5-rc5,jetson arm64,5,Ok,63
0.7.5-rc5,jetson arm64,6,Ok,52
0.7.5-rc5,mac mini 2018 intel,1,Ok,4
0.7.5-rc5,mac mini 2018 intel,2,Ok,3
0.7.5-rc5,mac mini 2018 intel,3,Ok,16
0.7.5-rc5,mac mini 2018 intel,4,Ok,28
0.7.5-rc5,mac mini 2018 intel,5,Ok,21
0.7.5-rc5,mac mini 2018 intel,6,Ok,19
0.7.5-rc5,mac mini m1,1,Ok,1
0.7.5-rc5,mac mini m1,2,Ok,4
0.7.5-rc5,mac mini m1,3,Ok,17
0.7.5-rc5,mac mini m1,4,Ok,14
0.7.5-rc5,mac mini m1,5,Ok,25
0.7.5-rc5,mac mini m1,6,Ok,15
0.7.5-rc5,mac mini m4 pro,1,Ok,0
0.7.5-rc5,mac mini m4 pro,2,Ok,1
0.7.5-rc5,mac mini m4 pro,3,Ok,7
0.7.5-rc5,mac mini m4 pro,4,Ok,4
0.7.5-rc5,mac mini m4 pro,5,Ok,5
0.7.5-rc5,mac mini m4 pro,6,Ok,4
0.7.5-rc5,macbookpro 2018 intel,1,Ok,11
0.7.5-rc5,macbookpro 2018 intel,2,Ok,4
0.7.5-rc5,macbookpro 2018 intel,3,Ok,55
0.7.5-rc5,macbookpro 2018 intel,4,Ok,54
0.7.5-rc5,macbookpro 2018 intel,5,Ok,59
0.7.5-rc5,macbookpro 2018 intel,6,Ok,50
0.7.5-rc5,pi4 arm64,1,Ok,27
0.7.5-rc5,pi4 arm64,2,Ok,9
0.7.5-rc5,pi4 arm64,3,Ok,125
0.7.5-rc5,pi4 arm64,4,Ok,159
0.7.5-rc5,pi4 arm64,5,Ok,143
0.7.5-rc5,pi4 arm64,6,Ok,215
0.7.5-rc5,pi5 arm64,1,Ok,9
0.7.5-rc5,pi5 arm64,2,Ok,8
0.7.5-rc5,pi5 arm64,3,Ok,51
0.7.5-rc5,pi5 arm64,4,Ok,56
0.7.5-rc5,pi5 arm64,5,Ok,69
0.7.5-rc5,pi5 arm64,6,Ok,66
