version,host,test,outcome,seconds
0.7.9,jetson arm64,1,Ok,10
0.7.9,jetson arm64,2,Ok,8
0.7.9,jetson arm64,3,Ok,43
0.7.9,jetson arm64,4,Ok,54
0.7.9,jetson arm64,5,Ok,51
0.7.9,jetson arm64,6,Ok,24
0.7.9,mac mini 2018 intel,1,Ok,3
0.7.9,mac mini 2018 intel,2,Ok,1
0.7.9,mac mini 2018 intel,3,Ok,18
0.7.9,mac mini 2018 intel,4,Ok,27
0.7.9,mac mini 2018 intel,5,Ok,25
0.7.9,mac mini 2018 intel,6,Ok,22
0.7.9,mac mini m1,1,Ok,2
0.7.9,mac mini m1,2,Ok,2
0.7.9,mac mini m1,3,Ok,24
0.7.9,mac mini m1,4,Ok,15
0.7.9,mac mini m1,5,Ok,16
0.7.9,mac mini m1,6,Ok,24
0.7.9,mac mini m4 pro,1,Ok,1
0.7.9,mac mini m4 pro,2,Ok,1
0.7.9,mac mini m4 pro,3,Ok,4
0.7.9,mac mini m4 pro,4,Ok,5
0.7.9,mac mini m4 pro,5,Ok,9
0.7.9,mac mini m4 pro,6,Ok,5
0.7.9,macbookpro 2018 intel,1,Ok,5
0.7.9,macbookpro 2018 intel,2,Ok,2
0.7.9,macbookpro 2018 intel,3,Ok,25
0.7.9,macbookpro 2018 intel,4,Ok,29
0.7.9,macbookpro 2018 intel,5,Ok,23
0.7.9,macbookpro 2018 intel,6,Ok,30
0.7.9,pi4 arm64,1,Ok,36
0.7.9,pi4 arm64,2,Ok,16
0.7.9,pi4 arm64,3,Ok,464
0.7.9,pi4 arm64,4,Ok,360
0.7.9,pi4 arm64,5,Ok,232
0.7.9,pi4 arm64,6,Ok,523
0.7.9,pi5 arm64,1,Ok,10
0.7.9,pi5 arm64,2,Ok,5
0.7.9,pi5 arm64,3,Ok,44
0.7.9,pi5 arm64,4,Ok,78
0.7.9,pi5 arm64,5,Ok,75
0.7.9,pi5 arm64,6,Ok,87
